,Subject.area
1,Biology + Media Arts and Sciences
2,Physics (Computational Biophysics)
3,Bioinformatics and Computational Biology
4,Computer Science
5,BSc in Molecular and Cellular Biology
6,Biological sciences
7,"Mathematical, Computational, and Systems Biology"
8,Bioinformatics
9,Biology major Chemistry minor
10,Cellular and Molecular Physiology
11,Biochemistry/Moleculqr Biology
12,Computational Biology & Bioinformatics
13,Bioinformatics
14,Statistical Genetics
15,Biochemistry
16,Bioinformatics
17,"Computer Science, Bioinformatics focus"
18,Doctor of Philosophy in Bioinformatics
19,Human Genetics
20,Computer Science
21,Biomedical Engineeirng
22,Applied Mathematics & Computational Biology
23,Computational Biology and Genomics
24,Epigenetics in Pancreatic Cancer
25,Genetics & Molecular Biology
26,Bioinformatics and Computational Biology
27,"Cancer Genomics, Molecular epidemiology, Computational Biology"
28,Genomics/Epidemiology
29,Bioinformatics
30,PhD Molecular Biology
31,Biology
32,"Evolution, Ecology and Population Biology"
33,Undergraduate: Biology and Spanish;  Graduate: Computational Biology
34,"Medicine, Biology"
35,Biology
36,Veterinary Medicine
37,Bioinformatics & Computational Biology
38,Biology
39,Bioinformatics and Computational Biology
40,Genetics and Genomics Sciences
41,Pharmaceutical Science with concentration in Bioinformatics
42,Computer Science-Bioinformatics & Applied Biomedical Engineering
43,Microbial Genomics
44,Biomedical Engineering/PhD Program/Cardiac Systems Biology using computational modeling
45,Molecular Biology & Bioinformatics
46,Engineering Science (Minor: Data Science)
47,Neuroscience
48,"Systems, Synthetic, Quantitative Biology Program"
49,Biomedical Informatics
50,"Computational biology, pharmacology, oncology"
51,Biotechnology and Data Science
52,Bioinformatics
53,Environmental health sciences
54,Biomedical Engineering
55,Bioinformatics
56,Biological Sciences
57,Cancer and mitochondrial dysfunction
58,Bioinformatics
59,Statistical genetics & genetic epidemiology
60,"computational biology, microbial genomics"
61,Cell Biology
62,Biology/Bioinformatics
63,Computational Biology
64,Bioinformatics and Computational Biology
65,Clinical Bioinformatics
66,Computational Modeling and Simulation
67,Immunology
68,Biomedical Informatics
69,Evolutionary Biology
70,"Biology, conc. Bioinformatics"
71,Bioinformatics
72,Bioinformatics
73,Biochemistry and Molecular biology
74,Genetic Epidemiology
75,Biomolecular Engineering and Bioinformatics
76,Bioinformatics and Molecular Biochemistry
77,Neuroscience
78,Bioinformatics
79,MSc Bioinformatics
80,Cell biology
81,Bioinformatics and Molecular Biochemistry
82,Biochemistry
83,Biomedical Science and Technology
84,Biochemistry
85,Master in Bioinformatics
86,Biomedical Sciences/ Cancer Biology and Genetics
87,Biology
88,Boinformatics
89,Bioinformatics
90,AI for Science
91,Data Science
92,Public Health
93,Bioinformatics/Biotechnology
94,Create gmaified learning experiences for bioinformatics
95,Bioinformatics
96,microbial genomes
97,Biomedical Informatics
98,Immunology and bioinformatics
99,Bioinformatics
100,"Major: Biology , tract: Biomedical science"
101,Sociology/Datascience
102,Molecular Biology and Biotechnology
103,Neuroscience and Behavior PhD
104,Genetics
105,Statistics
106,Bioinformatics
107,Medical Biochemistry
108,Biochemistry
109,"Biology, Genomics and Bioinformatics"
110,Biomedical Science
111,MSc Cell and Molecular Biology
112,Biomedical Engineering/Bioinformatics
113,Plant Biology
114,"Bachelors of Pharmacy, MS Biological Science (in view)"
115,Biochemistry
116,Digital arts
117,Mechanical Engineering/Transport Phenomena
118,Biological and Biomedical Sciences
119,Biological Sciences/Molecular Biology/Bioinformatics
120,Nutrition and gut microbiota
121,Bioinformatics
122,Biomedical Science
123,Bioinformatics
124,Marine Biology - functionality of small marine organisms 
125,Cell Biology/ Biological Imaging/ Computational Cell Modeling of Membrane trafficking
